成交日期,成交时间,交易所,合约编码,合约名称,买卖,开平,成交价格,成交数量,成交金额,备兑,成交编码,备注
2016/1/29,14:30:33,上海股票期权,10000567,50ETF购6月1800,买入,开仓,0.2151,1,2151,非备兑,54400,买入开仓
2016/1/29,14:23:28,上海股票期权,10000401,50ETF购3月1900,买入,开仓,0.138,1,1380,非备兑,52943,买入开仓
2016/1/29,14:08:12,上海股票期权,10000567,50ETF购6月1800,买入,开仓,0.205,1,2050,非备兑,50066,买入开仓
2016/1/29,13:31:54,上海股票期权,10000567,50ETF购6月1800,买入,开仓,0.2093,1,2093,非备兑,43636,买入开仓
2016/1/29,13:31:26,上海股票期权,10000375,50ETF购3月2050,卖出,平仓,0.0665,1,665,非备兑,43520,卖出平仓
2016/1/29,13:30:31,上海股票期权,10000567,50ETF购6月1800,买入,开仓,0.2108,1,2108,非备兑,43357,买入开仓
2016/1/29,13:30:13,上海股票期权,10000399,50ETF购3月1800,卖出,平仓,0.1945,1,1945,非备兑,43289,卖出平仓
2016/1/27,10:56:52,上海股票期权,10000551,50ETF购6月1850,买入,开仓,0.1659,1,1659,非备兑,27610,买入开仓
2016/1/25,14:02:00,上海股票期权,10000376,50ETF购3月2100,卖出,平仓,0.075,3,2250,非备兑,36102,卖出平仓
2016/1/25,14:01:42,上海股票期权,10000346,50ETF购3月2200,卖出,平仓,0.0468,2,936,非备兑,36019,卖出平仓
2016/1/18,11:04:22,上海股票期权,10000399,50ETF购3月1800,买入,开仓,0.2789,1,2789,非备兑,29458,买入开仓
2016/1/15,13:13:28,上海股票期权,10000399,50ETF购3月1800,买入,开仓,0.2874,1,2874,非备兑,35138,买入开仓
2016/1/11,13:28:22,上海股票期权,10000400,50ETF购3月1850,买入,开仓,0.3081,1,3081,非备兑,51546,买入开仓
