成交日期,成交时间,交易所,合约编码,合约名称,买卖,开平,成交价格,成交数量,成交金额,备兑,成交编码,备注,
2016-06-15,13:01:11,上海股票期权,10000541,50ETF购6月1950,卖出,平仓,0.1608,2,3216.00,非备兑,82923,卖出平仓,
2016-06-01,11:10:26,上海股票期权,10000631,50ETF购7月1950,买入,开仓,0.2010,2,4020.00,非备兑,38003,买入开仓,
2016-06-01,11:10:06,上海股票期权,10000541,50ETF购6月1950,卖出,平仓,0.2020,2,4040.00,非备兑,37963,卖出平仓,
2016-06-01,11:08:09,上海股票期权,10000541,50ETF购6月1950,卖出,平仓,0.2017,1,2017.00,非备兑,37660,卖出平仓,
2016-05-30,10:05:04,上海股票期权,10000541,50ETF购6月1950,卖出,平仓,0.1242,1,1242.00,非备兑,12301,卖出平仓,
2016-05-06,13:07:30,上海股票期权,10000552,50ETF购6月1900,卖出,平仓,0.2163,1,2163.00,非备兑,43022,卖出平仓,
2016-04-14,13:21:10,上海股票期权,10000552,50ETF购6月1900,卖出,平仓,0.2791,1,2791.00,非备兑,28915,卖出平仓,
2016-04-05,09:39:53,上海股票期权,10000576,50ETF购4月2000,卖出,平仓,0.1722,1,1722.00,非备兑,3205,卖出平仓,
