成交日期,成交时间,交易所,合约编码,合约名称,买卖,开平,成交价格,成交数量,成交金额,备兑,成交编码,备注,
2016-07-21,13:23:14,上海股票期权,10000629,50ETF购12月1950,买入,开仓,0.2790,2,5580.00,非备兑,47920,买入开仓,
2016-07-21,13:21:47,上海股票期权,10000631,50ETF购7月1950,卖出,平仓,0.2740,2,5480.00,非备兑,47687,卖出平仓,
